# mahimahi mm-link (Uplink) [/usr/share/mahimahi/traces/ATT-LTE-driving.up] > /pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log
# command line: 'mm-link' '/usr/share/mahimahi/traces/ATT-LTE-driving.up' '/usr/share/mahimahi/traces/ATT-LTE-driving.down' '--uplink-log=/pantheon/src/experiments/data/trail/cubic_mm_datalink_run1.log' '--downlink-log=/pantheon/src/experiments/data/trail/cubic_mm_acklink_run1.log' '--uplink-queue=codel' '--downlink-queue=codel' '--uplink-queue-args="target=512,interval=100,packets=100"' '--downlink-queue-args="target=512,interval=100,packets=100"' 'python' '/pantheon/src/experiments/tunnel_manager.py'
# queue: codel [packets=100]
# init timestamp: 1744951481554
# base timestamp: 32
4133 - 1504 146
4134 # 1504
4134 - 1504 105
4138 + 1504
4138 + 1504
4138 + 1504
4145 # 1504
4145 - 1504 116
4147 + 1504
4154 # 1504
4154 - 1504 125
4157 + 1504
4166 # 1504
4166 - 1504 137
4169 + 1504
4174 # 1504
4174 - 1504 138
4185 # 1504
4185 - 1504 149
4185 # 1504
4185 - 1504 130
4187 + 1504
4187 + 1504
4230 + 1504
4234 # 1504
4234 - 1504 179
4234 # 1504
4234 - 1504 179
4234 # 1504
4234 - 1504 179
4235 # 1504
4235 - 1504 179
4237 + 1504
4237 + 1504
4237 + 1504
4237 + 1504
4286 # 1504
4286 - 1504 230
4286 # 1504
4286 - 1504 218
4286 # 1504
4286 - 1504 218
4287 # 1504
4287 - 1504 219
4287 # 1504
4287 - 1504 170
4289 + 1504
4289 + 1504
4289 + 1504
4294 # 1504
4294 - 1504 177
4298 + 1504
4298 + 1504
4298 + 1504
4298 + 1504
4305 # 1504
4305 - 1504 188
4313 # 1504
4313 - 1504 196
4316 + 1504
4316 + 1504
4324 # 1504
4324 - 1504 207
4333 # 1504
4333 - 1504 216
4335 + 1504
4335 + 1504
4345 # 1504
4345 - 1504 225
4353 # 1504
4353 - 1504 215
4353 # 1504
4353 - 1504 215
4355 + 1504
4355 + 1504
4365 # 1504
4365 - 1504 227
4373 # 1504
4373 - 1504 226
4373 + 1504
4373 + 1504
4421 + 1504
4425 # 1504
4425 - 1504 268
4434 # 1504
4434 - 1504 265
4439 + 1504
4439 + 1504
4445 # 1504
4445 - 1504 258
4445 # 1504
4445 - 1504 258
4454 # 1504
4454 - 1504 224
4458 + 1504
4458 + 1504
4458 + 1504
4505 # 1504
4505 - 1504 268
4505 # 1504
4505 - 1504 268
4514 # 1504
4514 - 1504 277
4514 # 1504
4514 - 1504 277
4514 # 1504
4514 - 1504 225
4523 + 1504
4523 + 1504
4523 + 1504
4523 + 1504
4523 + 1504
4525 # 1504
4525 - 1504 236
4534 # 1504
4534 - 1504 245
4538 + 1504
4538 + 1504
4544 # 1504
4544 - 1504 246
4544 # 1504
4544 - 1504 246
4554 # 1504
4554 - 1504 256
4557 + 1504
4557 + 1504
4557 + 1504
4557 + 1504
4605 # 1504
4605 - 1504 307
4605 # 1504
4605 - 1504 289
4605 # 1504
4605 - 1504 289
4607 + 1504
4607 + 1504
4607 + 1504
4610 # 1504
4610 - 1504 275
4611 # 1504
4611 - 1504 276
4620 + 1504
4654 # 1504
4654 - 1504 299
4665 # 1504
4665 - 1504 310
4665 # 1504
4665 - 1504 292
4665 # 1504
4665 - 1504 292
4675 # 1504
4675 - 1504 254
4685 # 1504
4685 - 1504 246
4685 # 1504
4685 - 1504 246
4692 + 1504
4692 + 1504
4692 + 1504
4692 + 1504
4692 + 1504
4692 + 1504
4692 + 1504
4692 + 1504
4734 # 1504
4734 - 1504 276
4734 # 1504
4734 - 1504 276
4734 # 1504
4734 - 1504 276
4735 # 1504
4735 - 1504 212
4738 + 1504
4738 + 1504
4738 + 1504
4746 # 1504
4746 - 1504 223
4746 # 1504
4746 - 1504 223
4752 + 1504
4752 + 1504
4752 + 1504
4752 + 1504
4754 # 1504
4754 - 1504 231
4765 # 1504
4765 - 1504 242
4774 # 1504
4774 - 1504 236
4784 # 1504
4784 - 1504 246
4793 + 1504
4793 + 1504
4793 + 1504
4793 + 1504
4794 # 1504
4794 - 1504 237
4803 + 52
4804 # 1504
4804 - 1504 247
4804 # 1504
4804 - 1504 247
4810 + 1504
4810 + 1504
4814 # 1504
4814 - 1504 257
4815 + 1504
4816 + 1504
4824 # 1504
4824 - 1504 217
4866 + 1504
4874 # 1504
4874 - 1504 267
4874 # 1504
4874 - 1504 267
4892 + 1504
4892 + 1504
4894 # 1504
4894 - 1504 274
4894 # 1504
4894 - 1504 202
4897 + 1504
4897 + 1504
4905 # 1504
4905 - 1504 213
4905 # 1504
4905 - 1504 213
4909 + 1504
4914 # 1504
4914 - 1504 222
4917 + 1504
4917 + 1504
4925 # 1504
4925 - 1504 233
4934 # 1504
4934 - 1504 242
4937 + 1504
4937 + 1504
4944 # 1504
4944 - 1504 252
4945 # 1504
4945 - 1504 253
4948 + 1504
4948 + 1504
4954 # 1504
4954 - 1504 216
5005 # 1504
5005 - 1504 267
5005 # 1504
5005 - 1504 267
5005 # 1504
5005 - 1504 253
5008 + 1504
5008 + 1504
5008 + 1504
5008 + 1504
5034 # 1504
5034 - 1504 282
5034 # 1504
5034 - 1504 282
5034 # 1504
5034 - 1504 282
5035 # 1504
5035 - 1504 242
5036 + 1504
5036 + 1504
5036 + 1504
5036 + 1504
5045 # 1504
5045 - 1504 252
5094 # 1504
5094 - 1504 301
